,predicted_qty,real_y,date,promotion_flag,Special_order,break,year,month,weekday,long_holiday_start,after_long_holi,chu_and_sul,long_holiday_rest,mean_temp,precipitation_1day,max_windspeed,mean_humidity,weekend
174,901.943359375,1409.0,2018-09-21,0,0,0,2018,9,5,0,0,0,0,20.7,27.2,4.6,92.1,0
175,1313.65966796875,1877.5,2018-09-22,0,0,1,2018,9,6,5,0,0,0,22.4,0.0,5.4,75.8,1
176,986.201171875,750.0,2018-09-24,0,0,1,2018,9,1,0,1,1,1,19.6,0.0,7.7,49.9,0
177,701.9227905273438,774.0,2018-09-25,0,0,1,2018,9,2,0,0,1,1,19.8,0.0,5.5,59.8,0
178,669.0906982421875,928.0,2018-09-26,0,0,1,2018,9,3,0,0,0,1,20.0,2.4,5.8,63.8,0
179,789.202392578125,891.0000610351562,2018-09-27,0,0,0,2018,9,4,0,0,0,0,19.6,0.0,5.9,61.0,0
180,830.9839477539062,875.9999389648438,2018-09-28,0,0,0,2018,9,5,0,0,0,0,19.9,0.0,5.4,66.4,0
181,1139.1844482421875,807.0,2018-09-29,0,0,1,2018,9,6,0,0,0,0,18.0,37.1,4.2,90.3,1
182,899.138916015625,750.0,2018-09-30,0,0,1,2018,9,7,0,0,0,0,19.6,13.7,7.2,71.3,1
183,611.835693359375,409.9999694824219,2018-10-01,0,0,0,2018,10,1,0,0,0,0,17.9,0.0,8.9,52.9,0
184,658.2141723632812,632.0,2018-10-02,0,0,0,2018,10,2,0,0,0,0,17.3,0.0,5.4,65.4,0
185,703.8720092773438,775.0,2018-10-03,0,0,1,2018,10,3,0,0,0,1,18.6,0.0,4.9,63.6,0
186,725.9002685546875,670.0,2018-10-04,0,0,0,2018,10,4,0,0,0,0,20.1,1.1,5.1,71.9,0
187,880.1282348632812,546.0,2018-10-05,0,0,0,2018,10,5,0,0,0,0,19.5,51.3,5.4,96.6,0
188,1105.434326171875,780.0,2018-10-06,0,0,1,2018,10,6,0,0,0,0,21.6,67.4,19.2,86.0,1
189,675.3991088867188,743.0,2018-10-07,0,0,1,2018,10,7,0,0,0,0,20.8,0.0,5.6,72.6,1
190,523.012939453125,858.0,2018-10-08,0,0,0,2018,10,1,0,0,0,0,18.6,0.0,5.6,52.5,0
191,436.0087890625,693.0,2018-10-09,0,0,1,2018,10,2,0,0,0,1,18.1,0.0,4.3,63.6,0
192,677.5123291015625,542.0,2018-10-10,0,0,0,2018,10,3,0,0,0,0,17.1,0.0,6.1,64.1,0
193,603.8204345703125,516.0,2018-10-11,0,0,0,2018,10,4,0,0,0,0,13.3,0.0,7.7,44.1,0
194,1056.207275390625,538.0,2018-10-12,0,0,0,2018,10,5,0,0,0,0,13.9,0.0,3.7,55.0,0
195,1075.0509033203125,1001.0,2018-10-13,0,0,1,2018,10,6,0,0,0,0,16.1,0.0,3.6,63.6,1
196,594.3397827148438,540.0,2018-10-15,0,0,0,2018,10,1,0,0,0,0,17.2,0.0,5.0,57.3,0
197,521.1689453125,476.0,2018-10-16,0,0,0,2018,10,2,0,0,0,0,16.1,0.0,3.6,67.5,0
198,715.0161743164062,1240.0,2018-10-17,0,0,0,2018,10,3,0,0,0,0,16.5,0.0,4.7,67.8,0
